id,symbol,name,isin
17,AMRUTANJAN,Amrutanjan Health Care Ltd,INE098F01031
7834,540066,AMS Polymers Ltd,INE345U01019
64949,538861,Amsons Apparels Ltd,INE812P01018
1255,AMTEKAUTO,Amtek Auto Ltd,INE130C01021
1994,501630,Anand Projects Ltd,INE134R01013
74079,542721,Anand Rayons Ltd,INE02GA01012
1538,ANANTRAJ,Anant Raj Ltd,INE242C01024
5859,ANDHRABANK,Andhra Bank,INE434A01013
19,ANDHRACEMT,Andhra Cements Ltd,INE666E01012
20,ANDHRAPAP,Andhra Paper Ltd,INE435A01028
2242,ANDHRAPET,Andhra Petrochemicals Ltd,INE714B01016
5731,509367,Andhra Pradesh Tanneries Ltd,INE628Y01010
2259,ANDHRSUGAR,Andhra Sugars Ltd,INE715B01013
726,ANDREWYULE,Andrew Yule & Company Ltd,INE449C01025
6189,531252,Aneri Fincap Ltd,INE720D01019
5120,ANGIND,ANG Industries Ltd,INE017D01010
70392,540694,ANG Lifesciences India Ltd,INE236W01016
72142,541006,Angel Fibers Ltd,INE339Z01011
71671,AISL,ANI Integrated Services Ltd,INE635Y01015
3704,ANIKINDS,Anik Industries Ltd,INE087B01017
3050,513440,Anik Steels Ltd,
2037,ASILIND,Anil Special Steel Industries Ltd,INE904B01013
44237,537785,Anisha Impex Ltd,INE084Q01012
7150,531878,Anjani Finance Ltd,INE283D01018
6806,511153,Anjani Foods Ltd,INE096I01013
3364,APCL,Anjani Portland Cement Ltd,INE071F01012
6118,531223,Anjani Synthetics Ltd,INE364D01032
6922,531673,Anka India Ltd,INE067C01025
27538,ANKITMETAL,Ankit Metal & Power Ltd,INE106I01010
6906,531519,Ankush Finstock Ltd,INE784D01015
73587,542437,Anmol India Ltd,INE02AR01019
5972,530799,Anna Infrastructures Ltd,INE336D01014
6453,531406,ANS Industries Ltd,INE234J01018
1353,523007,Ansal Buildwell Ltd,INE030C01015
1259,ANSALHSG,Ansal Housing Ltd,INE880B01015
2820,ANSALAPI,Ansal Properties & Infrastructure Ltd,INE436A01026
1699,512091,Anshuni Commercials Ltd,INE425H01016
4498,ANTGRAPHIC,Antarctica Ltd,INE414B01021
19918,501270,Antariksh Industries Ltd,INE825M01017
44323,538833,Anubhav Infrastructure Ltd,INE891N01017
2916,506260,Anuh Pharma Ltd,INE489G01022
2623,512355,Anukaran Commercial Enterprises Ltd,INE090G01028
23472,506087,Anup Malleables Ltd,INE188O01016
4848,530109,Anupam Finserv Ltd,INE069B01015
74528,542865,Anuroop Packaging Ltd,INE490Z01012
28349,532981,Anus Laboratories Ltd,INE450H01022
2035,APARINDS,Apar Industries Ltd,INE372A01015
2706,APCOTEXIND,Apcotex Industries Ltd,INE116A01032
6990,531615,Apex Buildsys Ltd,INE040E01028
40592,541133,Apex Capital and Finance Ltd,INE758W01019
70330,APEX,Apex Frozen Foods Ltd,INE346W01013
2981,506166,Apis India Ltd,INE070K01014
12334,APLAPOLLO,APL Apollo Tubes Ltd,INE702C01019
1036,APLAB,Aplab Ltd,INE273A01015
24598,511064,Aplaya Creations Ltd,INE099M01027
72061,542774,APM Finvest Ltd,INE08KJ01012
2442,523537,APM Industries Ltd,INE170D01025
1762,512437,Apollo Finvest (India) Ltd,INE412D01013
636,APOLLOHOSP,Apollo Hospitals Enterprise Ltd,INE437A01024
71623,APOLLO,Apollo Micro Systems Ltd,INE713T01010
7159,APOLLOPIPE,Apollo Pipes Ltd,INE126J01016
24625,APOLSINHOT,Apollo Sindoori Hotels Ltd,INE451F01024
45800,538566,Apollo Tricoat Tubes Ltd,INE919P01029
23,APOLLOTYRE,Apollo Tyres Ltd,INE438A01022
54748,539545,Apoorva Leasing Finance & Investment Co Ltd,INE217S01014
2891,APPLECREDT,Apple Credit Corporation Ltd,INE212A01013
627,APRAYON,APR Ltd,INE193A01015
1257,506979,Apt Packaging Ltd,INE046E01017
8039,APTECHT,Aptech Ltd,INE266F01018
35142,AQUA,Aqua Logistics Ltd,INE544K01026
42570,539403,Arambhan Hospitality Services Ltd,INE800S01017
25,ARAVALISEC,Aravali Securities & Finance Ltd,INE068C01015
3705,520121,Arcee Industries Ltd,INE276D01012
5174,SSLFINANCE,Archana Software Ltd,INE149B01015
28434,ARCHIDPLY,Archidply Industries Ltd,INE877I01016
13561,ARCHIES,Archies Ltd,INE731A01020
6043,524640,Archit Organosys Ltd,INE078I01011
24589,511038,Arco Leasing Ltd,INE955S01019
2410,ARCOTECH,Arcotech Ltd,INE574I01035
5024,530261,Arcuttipore Tea Co Ltd,INE674C01010
2017,504370,Ardi Investments & Trading Company Ltd,
4733,526851,Arex Industries Ltd,INE480H01011
7464,539151,Arfin India Ltd,INE784R01015
12476,ARIES,Aries Agro Ltd,INE298I01015
4388,511605,Arihant Capital Markets Ltd,INE420B01028
13410,ARIHANT,Arihant Foundations & Housing Ltd,INE413D01011
72488,541401,Arihant Institute Ltd,INE997Z01016
6093,506113,Arihant Multi Commercial Ltd,INE776N01028
7101,ARIHANTSUP,Arihant Superstructures Ltd,INE643K01018
4005,526564,Arihant Thermoware Ltd,
