id,mstarId,name,isin
176,F000002R3X,BNP Paribas Corporate Bond Fund Monthly Dividend Payout,INF251K01EQ7
177,F00000PDR1,BNP Paribas Corporate Bond Fund Direct Plan Annual Dividend Payout Option,INF251K01GU4
178,F00000PDR2,BNP Paribas Corporate Bond Fund Direct Plan Growth Option,INF251K01GP4
179,F00000PDR3,BNP Paribas CorporateBond Fund Direct Plan Monthly Dividend Payout Option,INF251K01GQ2
180,F00000PDR4,BNP Paribas Corporate Bond Fund Direct Plan Quarterly Dividend Payout Option,INF251K01GS8
181,F000002R3S,BNP Paribas Corporate Bond Regular Annual Dividend Payout,
182,F000002EHS,BNP Paribas Corporate Bond Regular Growth,
183,F00000Z7JV,BNP Paribas Corporate Bond Regular Monthly Dividend Reinvestment,
184,F000002R3P,BNP Paribas Corporate Bond Regular Quarterly Dividend Payout,
185,F000002EL2,BNP Paribas Corporate Bond Fund Growth,INF251K01EP9
186,F000002R3V,BNP Paribas Corporate Bond Fund Quarterly Dividend Payout,INF251K01ES3
187,F00000SKL7,Canara Robeco Corporate Bond Fund Direct Dividend Payout,INF760K01HC0
188,F00000SKL8,Canara Robeco Corporate Bond Fund Direct Growth,INF760K01HB2
189,F00000SKL9,Canara Robeco Corporate Bond Fund Regular Dividend Payout,INF760K01GZ3
190,F00000SKLA,Canara Robeco Corporate Bond Fund Regular Growth,INF760K01GY6
192,F00000Z7R9,PGIM India Premier Bond Fund Annual Dividend Reinvestment,INF223J01CZ3
194,F00000Q2MR,PGIM India Premier Bond Fund Direct Plan Annual Dividend Payout,INF223J01OM6
195,F00000PDW9,PGIM India Premier Bond Fund Direct Plan Growth,INF223J01OO2
197,F00000PXWA,PGIM India Premier Bond Fund Direct Plan Monthly Dividend Payout,INF223J01OP9
198,F00000PFXK,PGIM India Premier Bond Fund Direct Plan Quarterly Dividend Payout,INF223J01OR5
199,F0GBR06SGF,PGIM India Premier Bond Fund Growth,INF223J01DB2
201,F00000Z7RD,PGIM India Premier Bond Fund Monthly Dividend Reinvestment,INF223J01DD8
202,F000002QYY,PGIM India Premier Bond Fund Premium Plus Plan Growth,
203,F00000Z7RF,PGIM India Premier Bond Fund Quarterly Dividend Reinvestment,INF223J01DF3
204,F00000Z7VK,Edelweiss Corporate Bond Fund Direct Dividend Reinvestment,INF843K01JL1
205,F00000UHHX,Edelweiss Corporate Bond Fund Direct Growth,INF843K01JI7
206,F00000Z7VM,Edelweiss Corporate Bond Fund Regular Annual Dividend Reinvestment,INF843K01JZ1
207,F00000Z7VL,Edelweiss Corporate Bond Fund Regular Dividend Reinvestment,INF843K01JV0
208,F00000Z7VH,Edelweiss Corporate Bond Fund Regular Fortnightly Dividend Reinvestment,INF843K01JX6
209,F00000UHHS,Edelweiss Corporate Bond Fund Regular Growth,INF843K01JS6
210,F00000Z7VI,Edelweiss Corporate Bond Fund Regular Monthly Dividend Reinvestment,INF843K01JY4
211,F00000Z7VJ,Edelweiss Corporate Bond Fund Regular Weekly Dividend Reinvestment,INF843K01JW8
212,F00000Z7YP,Franklin India Corporate Debt Plan A Annual Dividend Reinvestment,INF090I01DI2
213,F00000PDJK,Franklin India Corporate Debt Direct Annual Dividend Payout,INF090I01FX6
215,F00000PDJL,Franklin India Corporate Debt - Direct - Growth,INF090I01FW8
216,F00000PDJO,Franklin India Corporate Debt Direct Half Yearly Dividend Payout,INF090I01FU2
217,F00000PDJN,Franklin India Corporate Debt Direct Monthly Dividend Payout,INF090I01FQ0
218,F00000PDJP,Franklin India Corporate Debt Direct Quarterly Dividend Payout,INF090I01FS6
219,F0GBR06RGV,Franklin India Corporate Debt - Plan A - Growth,INF090I01DG6
220,F00000Z7YQ,Franklin India Corporate Debt Plan A Half Yearly Dividend Reinvestment,INF090I01DO0
222,F00000Z7YR,Franklin India Corporate Debt Plan A Monthly Dividend Reinvestment,INF090I01DK8
223,F00000Z7YS,Franklin India Corporate Debt Plan A Quarterly Dividend Reinvestment,INF090I01DM4
224,F00000UN21,HDFC Corporate Bond Fund Direct Option Normal Dividend Payout Option,INF179KA1D17
225,F00000JNNT,HDFC Corporate Bond Growth,INF179K01DC2
226,F00000Z82C,HDFC Corporate Bond Quarterly Dividend Reinvestment,INF179K01DD0
227,F00000UN20,HDFC Corporate Bond Fund Regular Option Normal Dividend Payout Option,INF179KA1D33
228,F00000PE14,HDFC Corporate Bond Fund -Direct Plan - Growth Option,INF179K01XD8
229,F00000PE13,HDFC Corporate Bond Fund -Direct Plan Quarterly Dividend Payout Option,INF179K01XB2
